ref_hash,obj
1000169251625791246_sc,100049.2505179291
1000169251625791246_st,29350.05787178565
1000395625957344683_sc,124055.70634058633
1000395625957344683_st,37799.312638012896
1003027494996471685_sc,119363.45727061345
1003027494996471685_st,73881.02057707531
1006670001679961544_sc,126012.23943149745
1006670001679961544_st,87966.20500854852
1007573308966476713_sc,123502.364131336
1007573308966476713_st,51784.4856143233
1010070503877148763_sc,123947.62566560529
1010070503877148763_st,115462.53274645057
1010265377387765028_sc,128634.35626769117
1010265377387765028_st,107787.76049511858
1010531372912327058_sc,128177.92051849893
1010531372912327058_st,59650.50416257
1011610998357271358_sc,123660.37097344514
1011610998357271358_st,54749.966937998135
1013543838965040946_sc,120288.40122393439
1013543838965040946_st,72180.26670409861
1014428234021750342_sc,129504.05989938854
1014428234021750342_st,105567.59209911713
101763096421653092_sc,115413.76157367002
101763096421653092_st,88640.6785793451
1017668882534236751_sc,124408.05755128832
1017668882534236751_st,87631.41250629
1017958004932387739_sc,124939.19004250609
1017958004932387739_st,100576.69127100465
1018126962792619181_sc,113112.91600993942
1018126962792619181_st,108612.35141407969
1021582875881379650_sc,123849.62844105053
1021582875881379650_st,118600.68041588427
1022093956983448460_sc,112831.21357719885
1022093956983448460_st,112710.20565689853
1022155574388897311_sc,129549.26975405471
1022155574388897311_st,83592.81906744312
1024792555410741306_sc,125894.2303351407
1024792555410741306_st,107833.61246757657
1026825193119998092_sc,127285.18377933663
1026825193119998092_st,100394.33593305791
1030603044158081433_sc,121186.82299540963
1030603044158081433_st,6433.939367871522
1030865855693267844_sc,128634.35626769117
1030865855693267844_st,107787.76049511858
1032938399279723623_sc,116528.68883040355
1032938399279723623_st,39252.4738969956
1036919443887988520_sc,118240.02660855991
1036919443887988520_st,88193.68959738141
1037575899869926_sc,114658.20257183287
1037575899869926_st,54339.372743586755
1042912100594917197_sc,125325.27245017713
1042912100594917197_st,105797.58754719498
104412862089502190_sc,128634.35626769117
104412862089502190_st,107787.76049511858
1048460865075142817_sc,88288.21298012946
1048460865075142817_st,57041.471895784634
1048487908287530052_sc,121319.92774715205
1048487908287530052_st,28470.478882997177
1048782984015604883_sc,130665.97614305823
1048782984015604883_st,115330.43723829677
1052346027668414186_sc,118740.25225452405
1052346027668414186_st,91459.87246713351
1052782935269141271_sc,123504.5004411251
1052782935269141271_st,112907.77728013256
